local_cru,local_canonico,tipo,sigla_secretaria,secretaria,registros,ativo
Ses - Pa Laranj-enfermagem,PA Laranj-enfermagem,PA,SES,Secretaria da Saúde,52,sim
Sedu - em Avelino L Camarg,EM Avelino L. Camarg,Escola,SEDUC,Secretaria da Educação,52,sim
Sedu - em Rosa Cury,EM Rosa Cury,Escola,SEDUC,Secretaria da Educação,52,sim
Ses - Ubs Sao Bento,UBS Sao Bento,UBS,SES,Secretaria da Saúde,52,sim
Sedu - em Lea Edy Al Saliba,EM Lea Edy Al Saliba,Escola,SEDUC,Secretaria da Educação,52,sim
Ses - Ubs Vitoria Regia,UBS Vitoria Regia,UBS,SES,Secretaria da Saúde,52,sim
Sedu - em Odilla Caldini Cresp,EM Odilla Caldini Cresp,Escola,SEDUC,Secretaria da Educação,52,sim
Sedu - Cei 66 (frat Fem Cruz),CEI 66 — Frat Fem Cruz,Escola,SEDUC,Secretaria da Educação,51,sim
Sedu - Cei 85 (maria R a God),CEI 85 — Maria R. A God,Escola,SEDUC,Secretaria da Educação,51,sim
Sedu - em Benedito Cleto,EM Benedito Cleto,Escola,SEDUC,Secretaria da Educação,51,sim
Sedu - Cei 88 (vera Ap G Sant),CEI 88 — Vera Ap G. Sant,Escola,SEDUC,Secretaria da Educação,51,sim
Serpo - D. Manut de Prop e Ip,D. Manut de Prop E. Ip,Setor,SERPO,Secretaria de Serviços Públicos e Obras,50,sim
Ses - Policlinica-adm-esp,Policlínica — Administrativo Especializado,Setor,SES,Secretaria da Saúde,50,sim
Sedu - em Oswaldo Duarte,EM Oswaldo Duarte,Escola,SEDUC,Secretaria da Educação,50,sim
Sedu - Cei 84 (osmar Almeida),CEI 84 — Osmar Almeida,Escola,SEDUC,Secretaria da Educação,50,sim
Sedu - em Duljara F Oliveir,EM Duljara F. Oliveir,Escola,SEDUC,Secretaria da Educação,50,sim
Sedu - Cei 92 (dolores Fagund),CEI 92 — Dolores Fagund,Escola,SEDUC,Secretaria da Educação,50,sim
Sedu - Cei 48 (frei a Kloeckn),CEI 48 — Frei A Kloeckn,Escola,SEDUC,Secretaria da Educação,50,sim
Sedu - Cei 75 (j Alcir G Rib),CEI 75 — J. Alcir G. Rib,Escola,SEDUC,Secretaria da Educação,50,sim
Sedu - em Ronaldo C de Arruda,EM Ronaldo C. de Arruda,Escola,SEDUC,Secretaria da Educação,49,sim
Ses - D. Vig Epidemiologica,Divisão de Vigilância Epidemiológica,Setor,SES,Secretaria da Saúde,48,sim
Sedu - Cei 79 (joao Tortello),CEI 79 — Joao Tortello,Escola,SEDUC,Secretaria da Educação,48,sim
Ses - Ubs Brigadeiro Tobias,UBS Brigadeiro Tobias,UBS,SES,Secretaria da Saúde,48,sim
Sedu - Cei 60 (anna Rusconi),CEI 60 — Anna Rusconi,Escola,SEDUC,Secretaria da Educação,48,sim
Sedu - Cei 106 (aurea Paixao,CEI 106 — Aurea Paixao,Escola,SEDUC,Secretaria da Educação,48,sim
Sedu - Cei 105 (dra Maura Robe,CEI 105 — Dra. Maura Robe,Escola,SEDUC,Secretaria da Educação,48,sim
Seplan - D. Licenc e Controle,D. Licenc E. Controle,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,47,sim
Ses - Acamados Med Familia,Acamados Med Familia,Setor,SES,Secretaria da Saúde,47,sim
Ses - Cmae,CMAE,CMAE,SES,Secretaria da Saúde,47,sim
Sedu - em M Lourd a Morais,EM M. Lourd A Morais,Escola,SEDUC,Secretaria da Educação,47,sim
Sedu - Cei 93 (m Teresa Calc),CEI 93 — M. Teresa Calc,Escola,SEDUC,Secretaria da Educação,47,sim
Sedu - Cei 95 (angela M Vieira,CEI 95 — Angela M. Vieira,Escola,SEDUC,Secretaria da Educação,47,sim
Sedu - Cei 35 (maria o V Brun),CEI 35 — Maria O V. Brun,Escola,SEDUC,Secretaria da Educação,47,sim
Ses - Ubs Sao Guilherme,UBS Sao Guilherme,UBS,SES,Secretaria da Saúde,46,sim
Sedu - em M Lourd M Martinez,EM M. Lourd M. Martinez,Escola,SEDUC,Secretaria da Educação,46,sim
Sedu - em Maria Ignez F Deluno,EM Maria Ignez F. Deluno,Escola,SEDUC,Secretaria da Educação,46,sim
Sedu - Cei 67 (maria G P Nard),CEI 67 — Maria G. P. Nard,Escola,SEDUC,Secretaria da Educação,46,sim
Sedu - Cei 68 (gladys M T Ama),CEI 68 — Gladys M. T. Ama,Escola,SEDUC,Secretaria da Educação,46,sim
Sedu - em Jose C Florenz,EM Jose C. Florenz,Escola,SEDUC,Secretaria da Educação,46,sim
Sedu - Cei 27 (christina Reis),CEI 27 — Christina Reis,Escola,SEDUC,Secretaria da Educação,46,sim
Sedu - em Getulio Vargas,EM Getulio Vargas,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - em Milton Santos,EM Milton Santos,Escola,SEDUC,Secretaria da Educação,45,sim
Ses - Ubs Eden,UBS Eden,UBS,SES,Secretaria da Saúde,45,sim
Sedu - em Maria Domingas,EM Maria Domingas,Escola,SEDUC,Secretaria da Educação,45,sim
Sgc - D. Gestao de Tecn da Inf,D. Gestao de Tecn da Inf,Setor,SGC,Secretaria de Gabinete Central,45,sim
Ses - Ubs Barao,UBS Barao,UBS,SES,Secretaria da Saúde,45,sim
Sedu - em Luiz Almeida Marins,EM Luiz Almeida Marins,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - Cei 81 (edith Del Sant),CEI 81 — Edith Del Sant,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - Cei 62 (mons Ant Sola),CEI 62 — Mons Ant Sola,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - Cei 98 (olinda L Marth),CEI 98 — Olinda L. Marth,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - Cei 97 (maria Dorelli,CEI 97 — Maria Dorelli,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - Cei 96 (pr Adelaide P,CEI 96 — Pr Adelaide P.,Escola,SEDUC,Secretaria da Educação,45,sim
Sedu - Cei 58 (dulce P o Pinh),CEI 58 — Dulce P. O Pinh,Escola,SEDUC,Secretaria da Educação,44,sim
Ses - Ubs Fiore,UBS Fiore,UBS,SES,Secretaria da Saúde,44,sim
Ses - Ubs Laranjeiras,UBS Laranjeiras,UBS,SES,Secretaria da Saúde,44,sim
Ses - Ubs Sorocaba,UBS Sorocaba,UBS,SES,Secretaria da Saúde,44,sim
Sedu - em Leda T Borghesi,EM Leda T. Borghesi,Escola,SEDUC,Secretaria da Educação,44,sim
Sedu - Cei 76 (menino Jesus),CEI 76 — Menino Jesus,Escola,SEDUC,Secretaria da Educação,44,sim
Sedu - em Flavio S Nogueira,EM Flavio S. Nogueira,Escola,SEDUC,Secretaria da Educação,43,sim
Sedu - Gabinete,Gabinete,Setor,SEDUC,Secretaria da Educação,43,sim
Ses - Caps Ad III,CAPS Ad III,CAPS,SES,Secretaria da Saúde,42,sim
Sedu - Cei 104 (pr J Crespo G),CEI 104 — Pr J. Crespo G.,Escola,SEDUC,Secretaria da Educação,42,sim
Sedu - Cei 87 (cassio Rosa),CEI 87 — Cassio Rosa,Escola,SEDUC,Secretaria da Educação,42,sim
Ses - Samu-telefonistas,SAMU — Telefonistas,Setor,SES,Secretaria da Saúde,42,sim
Ses - Gabinete,Gabinete,Setor,SES,Secretaria da Saúde,41,sim
Seplan - D. Fisc Post Mob Imob,D. Fisc Post Mob Imob,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,41,sim
Sedu - Cei 103 (jorge Moyses,CEI 103 — Jorge Moyses,Escola,SEDUC,Secretaria da Educação,41,sim
Ses - Ubs Cerrado,UBS Cerrado,UBS,SES,Secretaria da Saúde,41,sim
Ses - Ubs Paineiras,UBS Paineiras,UBS,SES,Secretaria da Saúde,41,sim
Sedu - em Matheus Maylasky,EM Matheus Maylasky,Escola,SEDUC,Secretaria da Educação,41,sim
Ses - Ubs Lopes de Oliveira,UBS Lopes de Oliveira,UBS,SES,Secretaria da Saúde,41,sim
Sedu - Cei 61 (yolanda Rizzo),CEI 61 — Yolanda Rizzo,Escola,SEDUC,Secretaria da Educação,41,sim
Sej - Proc Tributaria,Proc Tributaria,Setor,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,40,sim
Ses - Ubs Cajuru,UBS Cajuru,UBS,SES,Secretaria da Saúde,40,sim
Ses - Ubs Mineirao,UBS Mineirao,UBS,SES,Secretaria da Saúde,40,sim
Ses - Ubs Haro,UBS Haro,UBS,SES,Secretaria da Saúde,40,sim
Ses - Ubs Nova Esperanca,UBS Nova Esperanca,UBS,SES,Secretaria da Saúde,40,sim
Sedu - Cei 74 (maria C Marins),CEI 74 — Maria C. Marins,Escola,SEDUC,Secretaria da Educação,40,sim
Sedu - em Joao Franc Rosa,EM Joao Franc Rosa,Escola,SEDUC,Secretaria da Educação,40,sim
Sedu - em Helio Rosa Baldy,EM Helio Rosa Baldy,Escola,SEDUC,Secretaria da Educação,40,sim
Sedu - Cei 80 (ana Rjmz Oliv),CEI 80 — Ana Rjmz Oliv,Escola,SEDUC,Secretaria da Educação,40,sim
Sedu - Cei 69 (ester B C Nasc),CEI 69 — Ester B. C. Nasc,Escola,SEDUC,Secretaria da Educação,40,sim
Sedu - em Leonor P Thomaz,EM Leonor P. Thomaz,Escola,SEDUC,Secretaria da Educação,39,sim
Ses - Ubs Habiteto,UBS Habiteto,UBS,SES,Secretaria da Saúde,39,sim
Sedu - Cei 63 (rein D Aless),CEI 63 — Rein D. Aless,Escola,SEDUC,Secretaria da Educação,39,sim
Ses - Ubs Simus,UBS Simus,UBS,SES,Secretaria da Saúde,38,sim
Ses - Ubs Hortencia,UBS Hortencia,UBS,SES,Secretaria da Saúde,38,sim
Sedu - Cei 64 (joana Sim Sola),CEI 64 — Joana Sim Sola,Escola,SEDUC,Secretaria da Educação,38,sim
Serh - D. Segur Saude Ocup,Serh - D. Segur Saude Ocup,Setor,,,38,sim
Sedu - em Milton Leite Oliveir,EM Milton Leite Oliveir,Escola,SEDUC,Secretaria da Educação,38,sim
Ses - Policlinica-enfermagem,Policlínica — Enfermagem,Setor,SES,Secretaria da Saúde,38,sim
Sedu - Cei 65 (santo Agostinh),CEI 65 — Santo Agostinh,Escola,SEDUC,Secretaria da Educação,38,sim
Sedu - Cei 77 (olga Toledo Lr),CEI 77 — Olga Toledo Lr,Escola,SEDUC,Secretaria da Educação,38,sim
Sedu - Cei 33 (elvira N Mont),CEI 33 — Elvira N. Mont,Escola,SEDUC,Secretaria da Educação,38,sim
Sedu - Cei 110 (maria Leopoldi,CEI 110 — Maria Leopoldi,Escola,SEDUC,Secretaria da Educação,37,sim
Sedu - em Julica Bierrenbach,EM Julica Bierrenbach,Escola,SEDUC,Secretaria da Educação,37,sim
Sedu - em Quinzinho Barros,EM Quinzinho Barros,Escola,SEDUC,Secretaria da Educação,37,sim
Sedu - em Irineu Leister,EM Irineu Leister,Escola,SEDUC,Secretaria da Educação,37,sim
Sedu - em Zilah D M Scherep,EM Zilah D. M. Scherep,Escola,SEDUC,Secretaria da Educação,37,sim
Sedu - em Ana Cecilia F Prd,EM Ana Cecilia F. Prd,Escola,SEDUC,Secretaria da Educação,37,sim
Secid - Conselho Tutelar,Conselho Tutelar,Outros,SECID,Secretaria da Cidadania,37,sim
Sedu - em Basilio C Daemon,EM Basilio C. Daemon,Escola,SEDUC,Secretaria da Educação,36,sim
Ses - Ubs Nova Sorocaba,UBS Nova Sorocaba,UBS,SES,Secretaria da Saúde,36,sim
Sedu - em Darlene Devasto,EM Darlene Devasto,Escola,SEDUC,Secretaria da Educação,36,sim
Sedu - em Oswaldo Oliveira,EM Oswaldo Oliveira,Escola,SEDUC,Secretaria da Educação,36,sim
Sedu - em Jaci D Matielli,EM Jaci D. Matielli,Escola,SEDUC,Secretaria da Educação,35,sim
Ses - Ubs Maria do Carmo,UBS Maria do Carmo,UBS,SES,Secretaria da Saúde,35,sim
Ses - Ubs Sabia,UBS Sabia,UBS,SES,Secretaria da Saúde,35,sim
Ses - Ubs Caranda,UBS Caranda,UBS,SES,Secretaria da Saúde,35,sim
Sedu - Cei 86 (jorge L P Del,CEI 86 — Jorge L. P. Del,Escola,SEDUC,Secretaria da Educação,35,sim
Sedu - em Antenor Monteiro de Almeida,EM Antenor Monteiro de Almeida,Escola,SEDUC,Secretaria da Educação,34,sim
Ses - Ubs Maria Eugenia,UBS Maria Eugenia,UBS,SES,Secretaria da Saúde,33,sim
Sedu - Cei 07 (franc M P Silv),CEI 07 — Franc M. P. Silv,Escola,SEDUC,Secretaria da Educação,33,sim
Sedu - Cei 59 (eugenio Leite),CEI 59 — Eugenio Leite,Escola,SEDUC,Secretaria da Educação,33,sim
Sedu - em Paulo F Tortello,EM Paulo F. Tortello,Escola,SEDUC,Secretaria da Educação,33,sim
Ses - Ubs Barcelona,UBS Barcelona,UBS,SES,Secretaria da Saúde,32,sim
Sedu - Cei 112 (izabel dos S,CEI 112 — Izabel dos S.,Escola,SEDUC,Secretaria da Educação,32,sim
Sedu - Cei 16 (beatriz M L F),CEI 16 — Beatriz M. L. F.,Escola,SEDUC,Secretaria da Educação,32,sim
Sedu - Cei 71 (yolanda P Ned),CEI 71 — Yolanda P. Ned,Escola,SEDUC,Secretaria da Educação,32,sim
Sedu - em Ney de o Fogaca,EM Ney de O Fogaca,Escola,SEDUC,Secretaria da Educação,32,sim
Sedu - Cei 54 (sonia Ap Mach),CEI 54 — Sonia Ap Mach,Escola,SEDUC,Secretaria da Educação,32,sim
Ses - Pa Laranj-medicos,PA Laranj-medicos,PA,SES,Secretaria da Saúde,31,sim
Segov - Gabinete,Segov - Gabinete,Setor,,,31,sim
Ses - Ubs Angelica,UBS Angelica,UBS,SES,Secretaria da Saúde,31,sim
Ses - Ubs Santana,UBS Santana,UBS,SES,Secretaria da Saúde,31,sim
Sedu - Cei 83 (maria C R Sack),CEI 83 — Maria C. R. Sack,Escola,SEDUC,Secretaria da Educação,31,sim
Sedu - em Amin Cassar,EM Amin Cassar,Escola,SEDUC,Secretaria da Educação,31,sim
Estagios - Sgc Ti,Estagios - Sgc Ti,Categoria,,,31,sim
Sefaz - D. Fisc Tribut Mob,D. Fisc Tribut Mob,Setor,SEFAZ,Secretaria da Fazenda,30,sim
Ses - Ubs Escola,UBS Escola,Escola,SES,Secretaria da Saúde,30,sim
Ses - Samu-medicos,SAMU — Médicos,Setor,SES,Secretaria da Saúde,30,sim
Sedu - Cei 14 (eng C Rein Men),CEI 14 — Eng C. Rein Men,Escola,SEDUC,Secretaria da Educação,30,sim
Sedu - em Genny Kalil Milego,EM Genny Kalil Milego,Escola,SEDUC,Secretaria da Educação,30,sim
Sedu - Cei 08 (messias R N C),CEI 08 — Messias R. N. C.,Escola,SEDUC,Secretaria da Educação,29,sim
Sedu - em Edemir a Digiampi,EM Edemir A Digiampi,Escola,SEDUC,Secretaria da Educação,29,sim
Sefaz - D. Cadastro Tribut,D. Cadastro Tribut,Setor,SEFAZ,Secretaria da Fazenda,28,sim
Ses - Policlinica-odonto,Policlínica — Odontologia,Setor,SES,Secretaria da Saúde,28,sim
Sedu - em Josefina Z Carv,EM Josefina Z. Carv,Escola,SEDUC,Secretaria da Educação,28,sim
Sedu - Cei 108 (antonio B M F),CEI 108 — Antonio B. M. F.,Escola,SEDUC,Secretaria da Educação,28,sim
Sedu - Cei 101 (leonilda C Mal,CEI 101 — Leonilda C. Mal,Escola,SEDUC,Secretaria da Educação,28,sim
Sedu - em Walter Carretero,EM Walter Carretero,Escola,SEDUC,Secretaria da Educação,28,sim
Sefaz - D. Fisc Tribut Imob,D. Fisc Tribut Imob,Setor,SEFAZ,Secretaria da Fazenda,28,sim
Secom - Gabinete,Secom - Gabinete,Setor,,,28,sim
Sema - D. Licenc e Fisc Ambiental,D. Licenc E. Fisc Ambiental,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",28,sim
Ses - Lab Saude Publica,Lab Saude Publica,Outros,SES,Secretaria da Saúde,27,sim
Sedu - Cei 28 (raudineia Mach),CEI 28 — Raudineia Mach,Escola,SEDUC,Secretaria da Educação,27,sim
Sedu - Cei 02 (marina Grohma),CEI 02 — Marina Grohma,Escola,SEDUC,Secretaria da Educação,27,sim
Sedu - em Joao Bat Larizzatti Jr,EM Joao Bat Larizzatti Jr.,Escola,SEDUC,Secretaria da Educação,27,sim
Sej - Proc Contenciosos,Proc Contenciosos,Setor,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,27,sim
Sedu - Cei 100 (merc Urq Desi),CEI 100 — Merc Urq Desi,Escola,SEDUC,Secretaria da Educação,27,sim
Sedu - Cei 23 (dolores Amaral),CEI 23 — Dolores Amaral,Escola,SEDUC,Secretaria da Educação,26,sim
Sedu - Cei 47 (betty S Oliv),CEI 47 — Betty S. Oliv,Escola,SEDUC,Secretaria da Educação,26,sim
Segov - D. Procon,Segov - D. Procon,Setor,,,26,sim
Estagios - Sesu,Estagios - Sesu,Categoria,,,26,sim
Estagios - Seplan - Arquitetur,Estagios - Seplan - Arquitetur,Categoria,,,26,sim
Seplan - D. Fisc Areas Publicas,D. Fisc Areas Publicas,Setor,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,25,sim
Aposent-pens (dap),Aposent-pens — Dap,Categoria,,,25,sim
Sedu - Superv Ensino,Superv Ensino,Outros,SEDUC,Secretaria da Educação,25,sim
Serpo - D. Gerenciamento Viario,D. Gerenciamento Viario,Setor,SERPO,Secretaria de Serviços Públicos e Obras,24,sim
Sedu - em Benedito J Nunes,EM Benedito J. Nunes,Escola,SEDUC,Secretaria da Educação,24,sim
Sedu - em Carmen Paulina Walter,EM Carmen Paulina Walter,Escola,SEDUC,Secretaria da Educação,24,sim
Sedu - Cei 70 (adayl o Arruda),CEI 70 — Adayl O Arruda,Escola,SEDUC,Secretaria da Educação,24,sim
Secid - Gabinete,Gabinete,Setor,SECID,Secretaria da Cidadania,23,sim
Sema - D. Zoologico e Bem-estar Animal,D. Zoologico E. Bem-estar Animal,Setor,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",23,sim
Sead - Smf-secao de Manutencao da Frota,Sead - Smf-secao de Manutencao da Frota,Outros,,,22,sim
Ses - Pa Sorocaba I-enfermagem,PA Sorocaba I.-enfermagem,PA,SES,Secretaria da Saúde,22,sim
Sedu - D. Educ Especial,D. Educ Especial,Setor,SEDUC,Secretaria da Educação,22,sim
Sedu - em Edward Frufru M,EM Edward Frufru M.,Escola,SEDUC,Secretaria da Educação,22,sim
Sgc - Ouvidoria-geral,Ouvidoria-geral,Outros,SGC,Secretaria de Gabinete Central,22,sim
Ses - D. Adm de Convenios,D. Adm de Convenios,Setor,SES,Secretaria da Saúde,22,sim
Sedu - Cei 45 (diva F Cordeir),CEI 45 — Diva F. Cordeir,Escola,SEDUC,Secretaria da Educação,21,sim
Sedu - Cei 114 (fausto Ferreira Telles),CEI 114 — Fausto Ferreira Telles,Escola,SEDUC,Secretaria da Educação,21,sim
Sedu - Cei 99 (larissa F Borge,CEI 99 — Larissa F. Borge,Escola,SEDUC,Secretaria da Educação,21,sim
Sedu - D. Gestao Ctle Convenios,D. Gestao Ctle Convenios,Setor,SEDUC,Secretaria da Educação,20,sim
Ses - D. Adm Atencao a Saude,D. Adm Atencao A Saude,Setor,SES,Secretaria da Saúde,20,sim
Sedu - em Rev. Augusto da Silva Dourado,EM Rev. Augusto da Silva Dourado,Escola,SEDUC,Secretaria da Educação,20,sim
Serh - D. Cadastro Funcional,Serh - D. Cadastro Funcional,Setor,,,20,sim
Serh - D. Adm Pagamentos,Serh - D. Adm Pagamentos,Setor,,,20,sim
Estagios - Secult,Estagios - Secult,Categoria,,,20,sim
Sedu - D. Obras Manut Esc e Apoio Log,D. Obras Manut Esc E. Apoio Log,Setor,SEDUC,Secretaria da Educação,19,sim
Sedu - Cei 57 (eng Joao Saler),CEI 57 — Eng Joao Saler,Escola,SEDUC,Secretaria da Educação,19,sim
Sedu - D. Ap Tec Pedagogico,D. Ap Tec Pedagogico,Setor,SEDUC,Secretaria da Educação,19,sim
Sedu - em Jose Mendes,EM Jose Mendes,Escola,SEDUC,Secretaria da Educação,19,sim
Ses - D. Adm e Gestao,D. Adm E. Gestao,Setor,SES,Secretaria da Saúde,19,sim
Semepp - D. Pol Prog e Acoes de Apoio,Semepp - D. Pol Prog E. Acoes de Apoio,Setor,,,19,sim
Serpo - Gabinete,Gabinete,Setor,SERPO,Secretaria de Serviços Públicos e Obras,18,sim
Secid - D. Politicas Pessoas Situacao Rua,D. Politicas Pessoas Situacao Rua,Setor,SECID,Secretaria da Cidadania,18,sim
Sgc - Gabinete,Gabinete,Setor,SGC,Secretaria de Gabinete Central,18,sim
Sedu - em Wanderlei Acca Prof,EM Wanderlei Acca Prof,Escola,SEDUC,Secretaria da Educação,18,sim
Ses - Pa Sao Bento - Enfermagem,PA Sao Bento - Enfermagem,PA,SES,Secretaria da Saúde,18,sim
Secid - D. Gestao do Suas,D. Gestao do Suas,Setor,SECID,Secretaria da Cidadania,18,sim
Semob - D. Adm e Serv Internos,D. Adm E. Serv Internos,Setor,SEMOB,Secretaria de Mobilidade,18,sim
Secult - Gabinete,Gabinete,Setor,SECULT,Secretaria de Cultura,17,sim
Sedu - Cei 41 (antonio Fratti),CEI 41 — Antonio Fratti,Escola,SEDUC,Secretaria da Educação,17,sim
Sedu - em Renata Cabrerisso da Costa,EM Renata Cabrerisso da Costa,Escola,SEDUC,Secretaria da Educação,17,sim
Sead - D. Licitacoes,Sead - D. Licitacoes,Setor,,,17,sim
Sead - D. Contratos de Licitacao,Sead - D. Contratos de Licitacao,Setor,,,17,sim
Segov - Assessores,Segov - Assessores,Outros,,,17,sim
Estagios - Ses Gabinete,Estagios - Ses Gabinete,Categoria,,,17,sim
Semob - D. Fiscalizacao,D. Fiscalizacao,Setor,SEMOB,Secretaria de Mobilidade,16,sim
Sead - D. Adm Materiais,Sead - D. Adm Materiais,Setor,,,16,sim
Sead - D. Arq Pub Hist Mun,Sead - D. Arq Pub Hist Mun,Setor,,,16,sim
Sedu - Cei 03 (zizi Almeida),CEI 03 — Zizi Almeida,Escola,SEDUC,Secretaria da Educação,16,sim
Sedu - Cei 22 (victor Pedroso),CEI 22 — Victor Pedroso,Escola,SEDUC,Secretaria da Educação,16,sim
Ses - Pa Laranj-adm-rec,PA Laranj-adm-rec,PA,SES,Secretaria da Saúde,16,sim
Sedu - em Jose Osorio C M Alme,EM Jose Osorio C. M. Alme,Escola,SEDUC,Secretaria da Educação,16,sim
Sedu - em Ernesto Martins,EM Ernesto Martins,Escola,SEDUC,Secretaria da Educação,16,sim
Sefaz - Gabinete,Gabinete,Setor,SEFAZ,Secretaria da Fazenda,16,sim
Sedu - em Dirceu Ferr da Silva,EM Dirceu Ferr da Silva,Escola,SEDUC,Secretaria da Educação,16,sim
Sedu - Cei 53 (benjamin Grizz),CEI 53 — Benjamin Grizz,Escola,SEDUC,Secretaria da Educação,15,sim
Ses - D. Mat Med Hosp Farm,D. Mat Med Hosp Farm,Setor,SES,Secretaria da Saúde,15,sim
Sedu - Cei 148 (comend Alfredo Metidieri),CEI 148 — Comend Alfredo Metidieri,Escola,SEDUC,Secretaria da Educação,15,sim
Estagios - Segov-procon,Estagios - Segov-procon,Categoria,,,15,sim
Sgc - D. Infraestrutura,D. Infraestrutura,Setor,SGC,Secretaria de Gabinete Central,14,sim
Sert - Pat,Sert - Pat,Outros,,,14,sim
Sedu - Cei 20 (victoria S Lar),CEI 20 — Victoria S. Lar,Escola,SEDUC,Secretaria da Educação,14,sim
Sej - Gabinete,Gabinete,Setor,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,14,sim
Sedu - Cei 05 (antonio Amabil),CEI 05 — Antonio Amabil,Escola,SEDUC,Secretaria da Educação,14,sim
Sedu - Cei 10 (eglantina Rocco),CEI 10 — Eglantina Rocco,Escola,SEDUC,Secretaria da Educação,14,sim
Sedu - D. Educ Basica,D. Educ Basica,Setor,SEDUC,Secretaria da Educação,14,sim
Serh - D. Desenv Pessoas,Serh - D. Desenv Pessoas,Setor,,,14,sim
